,ZIPCODE,2013,2014,2015,2016,2017
0,10001,0,1,3,6,5
1,10002,0,0,3,8,5
2,10003,0,1,5,14,5
3,10004,0,2,0,3,1
4,10005,1,1,1,3,0
5,10006,0,0,0,0,1
6,10007,0,0,1,1,1
7,10009,0,0,2,2,0
8,10010,1,0,3,2,0
9,10011,0,2,3,5,3
10,10012,0,1,2,5,7
11,10013,0,2,5,8,6
12,10014,0,2,1,2,2
13,10016,0,1,4,2,2
14,10017,0,4,2,3,2
15,10018,0,2,4,5,7
16,10019,0,1,2,3,0
17,10020,0,0,0,0,1
18,10021,0,0,0,2,2
19,10022,0,0,1,4,4
20,10023,0,0,2,3,2
21,10024,0,1,0,1,0
22,10025,0,1,1,2,2
23,10026,0,0,1,1,1
24,10027,0,1,0,1,2
25,10028,0,1,0,2,1
26,10029,0,0,1,0,0
27,10030,0,0,1,0,1
28,10031,0,0,2,1,0
29,10032,0,0,1,0,0
30,10033,0,0,0,0,1
31,10036,0,4,3,7,4
32,10038,1,0,2,4,1
33,10040,0,1,0,0,0
34,10065,0,1,2,2,0
35,10075,0,0,1,0,1
36,10118,0,0,0,1,0
37,10128,0,0,1,3,2
38,10154,0,0,0,1,0
39,10155,0,0,0,0,1
40,10158,0,0,0,0,1
41,10166,0,0,0,0,1
42,10168,0,0,1,0,0
43,10281,0,0,0,1,2
44,10282,0,0,0,0,1
45,10304,0,0,0,1,0
46,10306,0,0,0,0,2
47,10309,0,0,0,1,0
48,10314,0,0,1,0,0
49,10451,0,0,1,0,0
50,10454,0,0,0,1,0
51,10458,0,1,0,8,0
52,10461,0,0,0,1,0
53,10462,0,0,1,0,0
54,10463,0,0,1,0,0
55,10464,0,0,0,1,0
56,10465,0,0,0,1,1
57,10468,0,1,0,0,0
58,10469,0,0,0,1,0
59,10472,0,0,0,1,0
60,10474,0,0,0,0,1
61,10475,0,1,0,0,0
62,11101,0,2,1,3,1
63,11102,0,0,0,2,0
64,11103,1,0,2,1,4
65,11104,0,0,0,0,1
66,11105,0,0,0,1,1
67,11106,0,0,1,1,1
68,11201,0,3,2,4,4
69,11205,0,0,1,2,2
70,11206,0,0,0,0,2
71,11207,0,0,1,0,0
72,11208,0,0,1,0,0
73,11209,0,0,1,3,1
74,11210,0,0,0,1,1
75,11211,0,4,1,3,2
76,11212,0,0,1,0,0
77,11213,0,0,0,2,1
78,11214,0,2,1,2,1
79,11215,0,4,3,7,2
80,11216,0,2,0,4,1
81,11217,0,1,0,0,1
82,11218,0,0,0,3,0
83,11220,0,3,2,2,0
84,11221,0,2,1,2,2
85,11222,0,1,5,4,0
86,11223,0,0,0,2,0
87,11225,0,0,2,4,1
88,11226,0,0,0,0,1
89,11228,0,0,0,1,0
90,11229,0,0,0,1,0
91,11230,0,0,1,0,0
92,11231,0,1,1,1,0
93,11232,0,0,0,0,3
94,11233,0,0,0,2,1
95,11235,0,0,0,0,3
96,11237,0,0,3,1,1
97,11238,0,0,1,5,2
98,11241,0,0,0,1,0
99,11249,0,0,2,5,2
100,11354,0,2,2,5,1
101,11355,0,0,0,1,1
102,11356,0,0,0,1,0
103,11358,0,1,1,2,2
104,11361,0,2,0,2,0
105,11362,0,0,0,1,2
106,11365,0,0,0,1,0
107,11366,0,0,0,0,1
108,11368,0,1,0,0,0
109,11372,0,0,0,3,0
110,11373,0,1,0,2,1
111,11374,0,0,0,3,0
112,11375,0,1,0,1,0
113,11377,0,0,2,0,1
114,11378,0,0,0,0,1
115,11385,0,2,4,2,3
116,11415,0,0,0,0,1
117,11416,0,1,0,0,0
118,11418,0,1,0,0,1
119,11419,0,0,0,1,0
120,11421,0,0,0,0,1
121,11430,0,0,2,0,1
122,11435,0,0,0,1,0
123,11691,0,0,0,0,1
